"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Gestão de Catálogo","0","Administração de Filmes","2","0","Cadastro de novos filmes","0"
"0","Gestão de Catálogo","0","Administração de Séries de TV","1","0","Validação de formulário de cadastro","0"
"0","Autenticação","0","Login de Administrador","3","0","Validação de campos obrigatórios","0"
"0","Autenticação","0","Login de Administrador","1","0","Validação de formato de email","0"
"0","Gestão de Catálogo","0","Administração de Séries de TV","2","0","Cadastro de séries","0"
"0","Gestão de Catálogo","0","Administração de Filmes","1","0","Busca de filmes","0"
"0","Gestão de Catálogo","0","Administração de Séries de TV","1","0","Busca de séries","0"
"0","Captação de Leads","0","Fila de Espera (Landing Page)","3","0","Validação de campos obrigatórios","0"
"0","Gestão de Catálogo","0","Administração de Séries de TV","1","0","Exclusão de séries","0"
"0","Captação de Leads","0","Fila de Espera (Landing Page)","1","0","Validação de formato de email","0"
"0","Captação de Leads","0","Fila de Espera (Landing Page)","1","0","Cadastro com sucesso","0"
"0","Autenticação","0","Login de Administrador","1","0","Login com credenciais válidas","0"
"0","Gestão de Catálogo","0","Administração de Filmes","1","0","Validação de formulário de cadastro","0"
"0","Gestão de Catálogo","0","Administração de Filmes","1","0","Exclusão de filmes","0"
"0","Captação de Leads","0","Fila de Espera (Landing Page)","1","0","Validação de duplicidade","0"
"0","Autenticação","0","Login de Administrador","1","0","Validação de credenciais incorretas","0"
