"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1618","Deve poder cadastrar um novo filme com sucesso","","2026-09-19","passed","2026-09-19","","tests.MoviesTests","tests.MoviesTests","pageMoviesNewRecord"
"","2154","Não deve cadastrar série quando os campos obrigatórios não forem preenchidos","","2026-09-19","passed","2026-09-19","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsRecordWithFieldNull"
"","852","Não deve logar quando a senha não é preenchida","","2026-09-19","passed","2026-09-19","","tests.LoginTest","tests.LoginTest","PageLoginAdminPasswordNull"
"","811","Não deve logar quando o email é inválido","","2026-09-19","passed","2026-09-19","","tests.LoginTest","tests.LoginTest","PageLoginAdminEmailWithIncorrect"
"","2791","Não deve permitir cadastrar série duplicada","","2026-09-19","passed","2026-09-19","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsNewRecordDuplicate"
"","1549","Deve realizar busca de filmes pelo termo 'zumbi'","","2026-09-19","passed","2026-09-19","","tests.MoviesTests","tests.MoviesTests","pageMoviesSearchMovie"
"","1481","Não deve permitir cadastrar filme duplicado","","2026-09-19","passed","2026-09-19","","tests.MoviesTests","tests.MoviesTests","pageMoviesNewRecordDuplicate"
"","2135","Deve realizar busca de séries pelo termo 'zombie'","","2026-09-19","passed","2026-09-19","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsSearchTvShow"
"","2133","Deve retornar erro ao cadastrar sem preencher o nome","","2026-09-19","passed","2026-09-19","","tests.LeadsTest","tests.LeadsTest","campoObrigatorioNome"
"","2005","Deve permitir excluir uma série existente com sucesso","","2026-09-19","passed","2026-09-19","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsDeleteTvShow"
"","826","Não deve logar quando o email não é preenchido","","2026-09-19","passed","2026-09-19","","tests.LoginTest","tests.LoginTest","PageLoginAdminEmailNull"
"","4501","Deve retornar erro ao cadastrar sem preencher o email","","2026-09-19","passed","2026-09-19","","tests.LeadsTest","tests.LeadsTest","campoObrigatorioEmail"
"","818","Não deve logar quando senha e email não são preenchidos","","2026-09-19","passed","2026-09-19","","tests.LoginTest","tests.LoginTest","PageLoginAdminPasswordAndEmailWithNull"
"","2120","Deve retornar erro ao cadastrar email inválido","","2026-09-19","passed","2026-09-19","","tests.LeadsTest","tests.LeadsTest","fluxoPrincipalEmailIncorreto"
"","2402","Deve cadastrar um lead na fila de espera com sucesso","","2026-09-19","passed","2026-09-19","","tests.LeadsTest","tests.LeadsTest","fluxoPrincipal"
"","866","Deve logar como Admin com sucesso","","2026-09-19","passed","2026-09-19","","tests.LoginTest","tests.LoginTest","PageLoginAdmin"
"","1206","Não deve cadastrar filme quando os campos obrigatórios não forem preenchidos","","2026-09-19","passed","2026-09-19","","tests.MoviesTests","tests.MoviesTests","pageMoviesRecordWithFieldNull"
"","1238","Deve permitir excluir um filme existente com sucesso","","2026-09-19","passed","2026-09-19","","tests.MoviesTests","tests.MoviesTests","pageMoviesDeleteMovie"
"","7528","Deve poder cadastrar uma nova série com sucesso","","2026-09-19","passed","2026-09-19","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsNewRecord"
"","2249","Não deve cadastrar quando o email já existe na lista","","2026-09-19","passed","2026-09-19","","tests.LeadsTest","tests.LeadsTest","FluxoPrincipalNaoCadastroEmailExistente"
"","844","Não deve logar com senha incorreta","","2026-09-19","passed","2026-09-19","","tests.LoginTest","tests.LoginTest","PageLoginAdminIncorrectPassword"
"","2053","Deve retornar erro ao submeter formulário de lead vazio","","2026-09-19","passed","2026-09-19","","tests.LeadsTest","tests.LeadsTest","campoObrigatorio"
