"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7543","Deve poder cadastrar uma nova série com sucesso","","2026-09-19","passed","2026-09-19","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsNewRecord"
"","2337","Deve cadastrar um lead na fila de espera com sucesso","","2026-09-19","passed","2026-09-19","","tests.LeadsTest","tests.LeadsTest","fluxoPrincipal"
"","846","Não deve logar quando o email é inválido","","2026-09-19","passed","2026-09-19","","tests.LoginTest","tests.LoginTest","PageLoginAdminEmailWithIncorrect"
"","811","Não deve logar com senha incorreta","","2026-09-19","passed","2026-09-19","","tests.LoginTest","tests.LoginTest","PageLoginAdminIncorrectPassword"
"","2062","Deve realizar busca de séries pelo termo 'zombie'","","2026-09-19","passed","2026-09-19","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsSearchTvShow"
"","2051","Deve retornar erro ao cadastrar email inválido","","2026-09-19","passed","2026-09-19","","tests.LeadsTest","tests.LeadsTest","fluxoPrincipalEmailIncorreto"
"","871","Deve logar como Admin com sucesso","","2026-09-19","passed","2026-09-19","","tests.LoginTest","tests.LoginTest","PageLoginAdmin"
"","823","Não deve logar quando o email não é preenchido","","2026-09-19","passed","2026-09-19","","tests.LoginTest","tests.LoginTest","PageLoginAdminEmailNull"
"","828","Não deve logar quando senha e email não são preenchidos","","2026-09-19","passed","2026-09-19","","tests.LoginTest","tests.LoginTest","PageLoginAdminPasswordAndEmailWithNull"
"","4508","Deve retornar erro ao cadastrar sem preencher o email","","2026-09-19","passed","2026-09-19","","tests.LeadsTest","tests.LeadsTest","campoObrigatorioEmail"
"","1639","Deve poder cadastrar um novo filme com sucesso","","2026-09-19","passed","2026-09-19","","tests.MoviesTests","tests.MoviesTests","pageMoviesNewRecord"
"","2236","Não deve cadastrar quando o email já existe na lista","","2026-09-19","passed","2026-09-19","","tests.LeadsTest","tests.LeadsTest","FluxoPrincipalNaoCadastroEmailExistente"
"","801","Não deve logar quando a senha não é preenchida","","2026-09-19","passed","2026-09-19","","tests.LoginTest","tests.LoginTest","PageLoginAdminPasswordNull"
"","2013","Deve retornar erro ao submeter formulário de lead vazio","","2026-09-19","passed","2026-09-19","","tests.LeadsTest","tests.LeadsTest","campoObrigatorio"
"","1951","Deve permitir excluir uma série existente com sucesso","","2026-09-19","passed","2026-09-19","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsDeleteTvShow"
"","2078","Não deve cadastrar série quando os campos obrigatórios não forem preenchidos","","2026-09-19","passed","2026-09-19","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsRecordWithFieldNull"
"","2890","Não deve permitir cadastrar série duplicada","","2026-09-19","passed","2026-09-19","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsNewRecordDuplicate"
"","1166","Não deve cadastrar filme quando os campos obrigatórios não forem preenchidos","","2026-09-19","passed","2026-09-19","","tests.MoviesTests","tests.MoviesTests","pageMoviesRecordWithFieldNull"
"","1599","Deve realizar busca de filmes pelo termo 'zumbi'","","2026-09-19","passed","2026-09-19","","tests.MoviesTests","tests.MoviesTests","pageMoviesSearchMovie"
"","2156","Deve retornar erro ao cadastrar sem preencher o nome","","2026-09-19","passed","2026-09-19","","tests.LeadsTest","tests.LeadsTest","campoObrigatorioNome"
"","1569","Não deve permitir cadastrar filme duplicado","","2026-09-19","passed","2026-09-19","","tests.MoviesTests","tests.MoviesTests","pageMoviesNewRecordDuplicate"
"","1168","Deve permitir excluir um filme existente com sucesso","","2026-09-19","passed","2026-09-19","","tests.MoviesTests","tests.MoviesTests","pageMoviesDeleteMovie"
