"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 19 02:31:51 GMT 2026","Sat Sep 19 02:31:54 GMT 2026","2841","","tests.TvShowsTest","","tests.TvShowsTest","pageTvShowsSearchTvShow","Deve realizar busca de séries pelo termo 'zombie'",""
"passed","Sat Sep 19 02:31:12 GMT 2026","Sat Sep 19 02:31:18 GMT 2026","5838","","tests.LeadsTest","","tests.LeadsTest","campoObrigatorioEmail","Deve retornar erro ao cadastrar sem preencher o email",""
"passed","Sat Sep 19 02:32:06 GMT 2026","Sat Sep 19 02:32:09 GMT 2026","2711","","tests.TvShowsTest","","tests.TvShowsTest","pageTvShowsRecordWithFieldNull","Não deve cadastrar série quando os campos obrigatórios não forem preenchidos",""
"passed","Sat Sep 19 02:31:34 GMT 2026","Sat Sep 19 02:31:35 GMT 2026","968","","tests.LoginTest","","tests.LoginTest","PageLoginAdminPasswordNull","Não deve logar quando a senha não é preenchida",""
"passed","Sat Sep 19 02:31:35 GMT 2026","Sat Sep 19 02:31:36 GMT 2026","1106","","tests.LoginTest","","tests.LoginTest","PageLoginAdminIncorrectPassword","Não deve logar com senha incorreta",""
"passed","Sat Sep 19 02:31:20 GMT 2026","Sat Sep 19 02:31:23 GMT 2026","2989","","tests.LeadsTest","","tests.LeadsTest","fluxoPrincipal","Deve cadastrar um lead na fila de espera com sucesso",""
"passed","Sat Sep 19 02:31:37 GMT 2026","Sat Sep 19 02:31:39 GMT 2026","2485","","tests.MoviesTests","","tests.MoviesTests","pageMoviesSearchMovie","Deve realizar busca de filmes pelo termo 'zumbi'",""
"passed","Sat Sep 19 02:31:48 GMT 2026","Sat Sep 19 02:31:51 GMT 2026","2694","","tests.TvShowsTest","","tests.TvShowsTest","pageTvShowsDeleteTvShow","Deve permitir excluir uma série existente com sucesso",""
"passed","Sat Sep 19 02:31:54 GMT 2026","Sat Sep 19 02:32:02 GMT 2026","8737","","tests.TvShowsTest","","tests.TvShowsTest","pageTvShowsNewRecord","Deve poder cadastrar uma nova série com sucesso",""
"passed","Sat Sep 19 02:31:28 GMT 2026","Sat Sep 19 02:31:31 GMT 2026","2374","","tests.LeadsTest","","tests.LeadsTest","fluxoPrincipalEmailIncorreto","Deve retornar erro ao cadastrar email inválido",""
"passed","Sat Sep 19 02:31:26 GMT 2026","Sat Sep 19 02:31:28 GMT 2026","2715","","tests.LeadsTest","","tests.LeadsTest","FluxoPrincipalNaoCadastroEmailExistente","Não deve cadastrar quando o email já existe na lista",""
"passed","Sat Sep 19 02:31:42 GMT 2026","Sat Sep 19 02:31:44 GMT 2026","1656","","tests.MoviesTests","","tests.MoviesTests","pageMoviesRecordWithFieldNull","Não deve cadastrar filme quando os campos obrigatórios não forem preenchidos",""
"passed","Sat Sep 19 02:31:32 GMT 2026","Sat Sep 19 02:31:33 GMT 2026","983","","tests.LoginTest","","tests.LoginTest","PageLoginAdminEmailWithIncorrect","Não deve logar quando o email é inválido",""
"passed","Sat Sep 19 02:31:23 GMT 2026","Sat Sep 19 02:31:26 GMT 2026","2286","","tests.LeadsTest","","tests.LeadsTest","campoObrigatorio","Deve retornar erro ao submeter formulário de lead vazio",""
"passed","Sat Sep 19 02:31:18 GMT 2026","Sat Sep 19 02:31:20 GMT 2026","2644","","tests.LeadsTest","","tests.LeadsTest","campoObrigatorioNome","Deve retornar erro ao cadastrar sem preencher o nome",""
"passed","Sat Sep 19 02:31:31 GMT 2026","Sat Sep 19 02:31:32 GMT 2026","935","","tests.LoginTest","","tests.LoginTest","PageLoginAdminPasswordAndEmailWithNull","Não deve logar quando senha e email não são preenchidos",""
"passed","Sat Sep 19 02:31:33 GMT 2026","Sat Sep 19 02:31:34 GMT 2026","1130","","tests.LoginTest","","tests.LoginTest","PageLoginAdmin","Deve logar como Admin com sucesso",""
"passed","Sat Sep 19 02:31:39 GMT 2026","Sat Sep 19 02:31:42 GMT 2026","2551","","tests.MoviesTests","","tests.MoviesTests","pageMoviesNewRecord","Deve poder cadastrar um novo filme com sucesso",""
"passed","Sat Sep 19 02:32:02 GMT 2026","Sat Sep 19 02:32:06 GMT 2026","3977","","tests.TvShowsTest","","tests.TvShowsTest","pageTvShowsNewRecordDuplicate","Não deve permitir cadastrar série duplicada",""
"passed","Sat Sep 19 02:31:36 GMT 2026","Sat Sep 19 02:31:37 GMT 2026","897","","tests.LoginTest","","tests.LoginTest","PageLoginAdminEmailNull","Não deve logar quando o email não é preenchido",""
"passed","Sat Sep 19 02:31:44 GMT 2026","Sat Sep 19 02:31:46 GMT 2026","1922","","tests.MoviesTests","","tests.MoviesTests","pageMoviesDeleteMovie","Deve permitir excluir um filme existente com sucesso",""
"passed","Sat Sep 19 02:31:46 GMT 2026","Sat Sep 19 02:31:48 GMT 2026","2318","","tests.MoviesTests","","tests.MoviesTests","pageMoviesNewRecordDuplicate","Não deve permitir cadastrar filme duplicado",""
