"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Gestão de Catálogo","Administração de Séries de TV","Busca de séries","0","0","1","0","0"
"Captação de Leads","Fila de Espera (Landing Page)","Validação de campos obrigatórios","0","0","3","0","0"
"Gestão de Catálogo","Administração de Séries de TV","Validação de formulário de cadastro","0","0","1","0","0"
"Autenticação","Login de Administrador","Validação de campos obrigatórios","0","0","3","0","0"
"Autenticação","Login de Administrador","Validação de credenciais incorretas","0","0","1","0","0"
"Captação de Leads","Fila de Espera (Landing Page)","Cadastro com sucesso","0","0","1","0","0"
"Gestão de Catálogo","Administração de Filmes","Busca de filmes","0","0","1","0","0"
"Gestão de Catálogo","Administração de Séries de TV","Exclusão de séries","0","0","1","0","0"
"Gestão de Catálogo","Administração de Séries de TV","Cadastro de séries","0","0","2","0","0"
"Captação de Leads","Fila de Espera (Landing Page)","Validação de formato de email","0","0","1","0","0"
"Captação de Leads","Fila de Espera (Landing Page)","Validação de duplicidade","0","0","1","0","0"
"Gestão de Catálogo","Administração de Filmes","Validação de formulário de cadastro","0","0","1","0","0"
"Autenticação","Login de Administrador","Validação de formato de email","0","0","1","0","0"
"Autenticação","Login de Administrador","Login com credenciais válidas","0","0","1","0","0"
"Gestão de Catálogo","Administração de Filmes","Cadastro de novos filmes","0","0","2","0","0"
"Gestão de Catálogo","Administração de Filmes","Exclusão de filmes","0","0","1","0","0"
