"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1917","Deve permitir excluir uma série existente com sucesso","","2026-09-19","passed","2026-09-19","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsDeleteTvShow"
"","2402","Deve cadastrar um lead na fila de espera com sucesso","","2026-09-19","passed","2026-09-19","","tests.LeadsTest","tests.LeadsTest","fluxoPrincipal"
"","2158","Deve retornar erro ao cadastrar sem preencher o nome","","2026-09-19","passed","2026-09-19","","tests.LeadsTest","tests.LeadsTest","campoObrigatorioNome"
"","1998","Deve realizar busca de séries pelo termo 'zombie'","","2026-09-19","passed","2026-09-19","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsSearchTvShow"
"","1560","Deve poder cadastrar um novo filme com sucesso","","2026-09-19","passed","2026-09-19","","tests.MoviesTests","tests.MoviesTests","pageMoviesNewRecord"
"","1244","Deve permitir excluir um filme existente com sucesso","","2026-09-19","passed","2026-09-19","","tests.MoviesTests","tests.MoviesTests","pageMoviesDeleteMovie"
"","837","Não deve logar com senha incorreta","","2026-09-19","passed","2026-09-19","","tests.LoginTest","tests.LoginTest","PageLoginAdminIncorrectPassword"
"","2284","Não deve cadastrar quando o email já existe na lista","","2026-09-19","passed","2026-09-19","","tests.LeadsTest","tests.LeadsTest","FluxoPrincipalNaoCadastroEmailExistente"
"","1492","Deve realizar busca de filmes pelo termo 'zumbi'","","2026-09-19","passed","2026-09-19","","tests.MoviesTests","tests.MoviesTests","pageMoviesSearchMovie"
"","4480","Deve retornar erro ao cadastrar sem preencher o email","","2026-09-19","passed","2026-09-19","","tests.LeadsTest","tests.LeadsTest","campoObrigatorioEmail"
"","1079","Não deve cadastrar filme quando os campos obrigatórios não forem preenchidos","","2026-09-19","passed","2026-09-19","","tests.MoviesTests","tests.MoviesTests","pageMoviesRecordWithFieldNull"
"","841","Deve logar como Admin com sucesso","","2026-09-19","passed","2026-09-19","","tests.LoginTest","tests.LoginTest","PageLoginAdmin"
"","2031","Deve retornar erro ao submeter formulário de lead vazio","","2026-09-19","passed","2026-09-19","","tests.LeadsTest","tests.LeadsTest","campoObrigatorio"
"","2772","Não deve permitir cadastrar série duplicada","","2026-09-19","passed","2026-09-19","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsNewRecordDuplicate"
"","828","Não deve logar quando a senha não é preenchida","","2026-09-19","passed","2026-09-19","","tests.LoginTest","tests.LoginTest","PageLoginAdminPasswordNull"
"","2058","Deve retornar erro ao cadastrar email inválido","","2026-09-19","passed","2026-09-19","","tests.LeadsTest","tests.LeadsTest","fluxoPrincipalEmailIncorreto"
"","1983","Não deve cadastrar série quando os campos obrigatórios não forem preenchidos","","2026-09-19","passed","2026-09-19","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsRecordWithFieldNull"
"","1450","Não deve permitir cadastrar filme duplicado","","2026-09-19","passed","2026-09-19","","tests.MoviesTests","tests.MoviesTests","pageMoviesNewRecordDuplicate"
"","840","Não deve logar quando senha e email não são preenchidos","","2026-09-19","passed","2026-09-19","","tests.LoginTest","tests.LoginTest","PageLoginAdminPasswordAndEmailWithNull"
"","821","Não deve logar quando o email não é preenchido","","2026-09-19","passed","2026-09-19","","tests.LoginTest","tests.LoginTest","PageLoginAdminEmailNull"
"","7451","Deve poder cadastrar uma nova série com sucesso","","2026-09-19","passed","2026-09-19","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsNewRecord"
"","819","Não deve logar quando o email é inválido","","2026-09-19","passed","2026-09-19","","tests.LoginTest","tests.LoginTest","PageLoginAdminEmailWithIncorrect"
